M101,机台没有切换机台编码
M102,请拿走机台上产品
M103,前站卡板
M104,热铆左扫码枪扫码失败
M105,热铆左MES上传失败
M106,热铆右扫码失败
M107,热铆右MES上传失败
M108,电测机扫码失败
M109,电测MES上传失败
M110,电测机测试失败
M111,pin检测机扫码失败
M112,pin检测MES上传失败
M113,pin检测图像处理失败
M114,
M115,
M116,按钮暂停中
M117,
M118,
M119,
M120,
M121,
M122,
M123,
M124,
M125,
M126,
M127,
M128,
M129,
M130,阻挡气缸置位超时
M131,阻挡气缸复位超时
M132,上顶气缸置位超时
M133,上顶气缸复位超时
M134,插接气缸左1置位超时
M135,插接气缸左1复位超时
M136,插接气缸右2置位超时
M137,插接气缸右2复位超时
M138,
M139,
M140,
M141,
M142,
M143,
M144,
M145,
M146,
M147,
M148,
M149,
M150,轨道轴报警
M151,热典铆左X轴报警
M152,热铆左Y轴报警
M153,热铆左Z轴报警
M154,热铆右X由报警
M155,热铆右Y轴报警
M156,热铆右Z轴报警
M157,检测X轴报警
M158,检测Y轴报警
M159,检测Z轴报警
M160,检测U轴报警
M161,龙门轴左1报警
M162,龙门轴右2报警
M163,
M164,热铆机两个轴防撞信号触发
M165,执铆左头x轴超正极限
M166,热铆左头Y轴超正极限
M167,热铆左头Z轴超正极限
M168,热铆右头X轴超正极限
M169,热铆右头Y轴超正极限
M170,热铆右头Z轴超正极限
M171,检测X轴超正极限
M172,检测Y轴超正极限
M173,检测Z轴超正极限
M174,从轴左1超正极限
M175,从轴右2超正极限
M176,热铆左头x抽超负极限
M177,热铆左头Y轴超负极限
M178,热铆左头Z轴超负极限
M179,热铆右头轴超负极限
M180,热铆右头Y轴超负极限
M181,热铆右头Z轴超负极限
M182,检测X轴超负极限
M183,检测Y轴超负极限
M184,检测Z轴超负极限
M185,从轴左1超负极限
M186,从轴右2超负极限
M187,与上位机失联
M188,门没关上
M189,光栅被挡
M190,左高频加热报警
M191,右高频加热报警
M192,
M193,
M194,
M195,
M196,
M197,
M198,
M199,
M200,
